iter	Passed	Remaining
417	2551	3552
418	2557	3546
419	2563	3539
420	2567	3531
421	2573	3525
422	2579	3519
423	2585	3512
424	2591	3506
425	2595	3497
426	2602	3491
427	2608	3485
428	2612	3477
429	2618	3471
430	2624	3465
431	2629	3457
432	2635	3451
433	2641	3445
434	2646	3437
435	2651	3430
436	2656	3422
437	2662	3416
438	2668	3409
439	2674	3403
440	2679	3395
441	2685	3389
442	2691	3383
443	2697	3377
444	2702	3371
445	2708	3364
446	2715	3359
447	2721	3353
448	2727	3346
449	2732	3340
450	2738	3333
451	2744	3327
452	2750	3321
453	2756	3315
454	2762	3309
455	2768	3303
456	2774	3297
457	2780	3289
458	2785	3283
459	2790	3275
460	2796	3269
461	2802	3263
462	2807	3256
463	2813	3250
464	2820	3244
465	2827	3239
466	2832	3233
467	2843	3232
468	2854	3231
469	2860	3225
470	2865	3218
471	2871	3212
472	2877	3206
473	2883	3200
474	2888	3192
475	2894	3186
476	2899	3179
477	2904	3172
478	2909	3164
479	2914	3157
480	2920	3151
481	2926	3145
482	2932	3139
483	2938	3132
484	2944	3126
485	2951	3121
486	2957	3115
487	2962	3108
488	2968	3102
489	2974	3096
490	2980	3089
491	2985	3082
492	2991	3076
493	2995	3068
494	3000	3061
495	3006	3054
496	3008	3044
497	3013	3037
498	3018	3030
499	3023	3023
500	3029	3017
501	3036	3012
502	3042	3006
503	3048	3000
504	3055	2995
505	3061	2989
506	3068	2983
507	3072	2976
508	3079	2970
509	3084	2963
510	3090	2957
511	3095	2950
512	3101	2944
513	3107	2938
514	3113	2931
515	3118	2924
516	3121	2916
517	3126	2909
518	3132	2903
519	3138	2896
520	3144	2891
521	3150	2884
522	3156	2878
523	3162	2872
524	3166	2865
525	3172	2859
526	3179	2853
527	3184	2846
528	3189	2840
529	3194	2833
530	3200	2826
531	3205	2819
532	3210	2812
533	3216	2806
534	3220	2798
535	3225	2792
536	3231	2786
537	3237	2779
538	3242	2773
539	3248	2767
540	3254	2761
541	3259	2754
