iter	MultiClass
154	0.3412939208
155	0.3405231068
156	0.3392923041
157	0.3385484068
158	0.3381899483
159	0.3375505461
160	0.3361857256
161	0.3353258524
162	0.334266151
163	0.334001613
164	0.3332234994
165	0.3328265064
166	0.332200829
167	0.3315295975
168	0.3309598679
169	0.329250435
170	0.328179936
171	0.3275091305
172	0.3269256587
173	0.3260042399
174	0.3255057273
175	0.3252590371
176	0.3244326737
177	0.3239034758
178	0.3230106924
179	0.3228364496
180	0.3221479539
181	0.3210225218
182	0.3203028507
183	0.3200063717
184	0.3190956638
185	0.3178819764
186	0.3166738988
187	0.3161158955
188	0.315382651
189	0.3143107383
190	0.3135937814
191	0.3127719548
192	0.311957811
193	0.3113700416
194	0.3110723081
195	0.3100129717
196	0.3095440122
197	0.3086661566
198	0.3071345769
199	0.3062249837
200	0.3054935401
201	0.3046941436
202	0.3035293605
203	0.3027270391
204	0.3017547465
205	0.30063722
206	0.3002224821
207	0.2990696063
208	0.2984234276
209	0.2974677188
210	0.2964386918
211	0.2953499925
212	0.2940042095
213	0.2931916702
214	0.2924915308
215	0.2916964394
216	0.2907934047
217	0.290492771
218	0.2899361428
219	0.2891280087
220	0.2886622549
221	0.2882534686
222	0.2877871987
223	0.2872921075
224	0.2868748883
225	0.286445637
226	0.2854800581
227	0.2851656783
228	0.2846649877
229	0.2842942633
230	0.2835228351
231	0.2826332056
232	0.2812606839
233	0.2802463553
234	0.2798098821
235	0.2786388148
236	0.2778202562
237	0.2775098269
238	0.2769683558
239	0.2760334932
240	0.2754270319
241	0.2744024061
242	0.2739299416
243	0.2731966733
244	0.2728141512
245	0.2727240503
246	0.2719393518
247	0.2712683425
248	0.2702762115
249	0.2700038271
250	0.2692349791
251	0.267747418
252	0.2671760589
253	0.2665425209
254	0.2658739957
255	0.2650527084
256	0.2640589861
257	0.2631330508
258	0.262427211
259	0.2619521946
260	0.2614748251
261	0.2609461952
262	0.2604504003
263	0.2595754106
264	0.2591021704
265	0.258798328
266	0.2585503585
267	0.257937592
268	0.2569049651
269	0.2564366907
270	0.2561431664
271	0.2558067865
272	0.2553146066
273	0.2551584727
274	0.254767673
275	0.2544048165
276	0.2541123413
277	0.2536762235
278	0.2528939821
279	0.251756495
280	0.2512729186
281	0.2505617263
282	0.2499705326
283	0.249481623
284	0.2489513068
285	0.2486923985
286	0.2481241028
287	0.2478673388
288	0.2474820151
289	0.2472352719
290	0.246820255
291	0.246571939
292	0.2457829771
293	0.2450942128
294	0.2446962378
295	0.244245333
296	0.243798493
297	0.2432968249
298	0.2429583391
299	0.2424094515
300	0.2420405869
301	0.2413741794
302	0.2412586157
303	0.2409528418
304	0.2402963147
305	0.2398606877
306	0.2396772543
307	0.2393093136
308	0.2385858351
309	0.2383892437
310	0.2379027955
311	0.2373099774
312	0.2368234527
313	0.2361030224
314	0.2356385454
315	0.2350129843
316	0.2341708293
317	0.2336477714
318	0.2326309402
319	0.2322901932
320	0.2318929387
321	0.2315503471
322	0.2311777051
323	0.2309107614
324	0.2302058698
325	0.2296412096
326	0.2290781401
327	0.2285955789
328	0.2278494279
329	0.2272197227
330	0.226748738
331	0.2264451573
332	0.225878291
333	0.224924208
334	0.2245119097
335	0.2238675958
336	0.2234489557
337	0.2232606406
338	0.2223858071
339	0.2220561231
340	0.2219160301
341	0.2215535445
342	0.2209494471
343	0.220271497
344	0.2197234787
345	0.2192429348
346	0.2189928436
347	0.2185498556
348	0.2179138193
349	0.2172408852
350	0.2167662689
351	0.2162896766
352	0.2158667611
353	0.2154552193
354	0.2149795701
355	0.2146240802
356	0.2145475433
357	0.214201932
358	0.2141044124
359	0.2136547466
360	0.21311032
361	0.2123892305
362	0.2120716586
363	0.2116300307
364	0.2111474417
365	0.2108485078
366	0.2105913798
367	0.2103533806
368	0.2099378991
369	0.2093612547
370	0.2090525611
371	0.2088920714
372	0.2086589511
373	0.2082950043
374	0.2079550104
375	0.2076991274
376	0.2074293111
377	0.2070445134
378	0.2064736366
379	0.2060817626
380	0.2058711558
381	0.2052660919
382	0.2050326933
383	0.204339004
384	0.2040659594
385	0.2035425951
386	0.2031660046
387	0.2026696473
388	0.2025093477
389	0.2020955065
390	0.201676148
391	0.2014357014
392	0.2010530945
393	0.2007011197
394	0.2004031598
395	0.1997181397
396	0.1993797303
397	0.1989413849
398	0.1985965176
399	0.1981652273
400	0.197582582
401	0.1972828045
402	0.1969396218
403	0.1966332909
404	0.19629493
405	0.1960999388
406	0.1955514478
407	0.1952129965
408	0.1949338374
409	0.1946234791
410	0.1940569597
411	0.193739216
412	0.1934124467
413	0.1931332755
414	0.1929049218
415	0.192266468
416	0.1918284464
417	0.1912248477
418	0.1908412638
419	0.1904981028
420	0.190305737
421	0.1900902906
422	0.1896842271
423	0.1895205136
424	0.189451705
425	0.1891959024
426	0.1890882865
427	0.1885530248
428	0.1882563951
429	0.1879839587
430	0.1877413688
431	0.187423248
432	0.1870312015
433	0.1866595513
434	0.1864674534
435	0.1859928044
436	0.1854451247
437	0.185330304
438	0.1847249832
439	0.1845918511
440	0.1841986655
441	0.1835266012
442	0.1831347798
443	0.1828569887
444	0.182088546
445	0.1817971692
446	0.1815551039
447	0.1811988081
448	0.1807336098
449	0.1805963615
450	0.1800877029
451	0.1797186952
452	0.1795438662
453	0.1792982347
454	0.1789236716
455	0.1786563744
456	0.1782202968
457	0.1780057885
458	0.1778188369
459	0.1775931367
460	0.1773969467
461	0.1772831343
462	0.1768884418
463	0.1765141024
464	0.1762518143
465	0.1759089932
466	0.1752407746
467	0.1748939966
468	0.1743481697
469	0.1742346194
470	0.174114724
471	0.173809673
472	0.1735899665
473	0.1733284424
474	0.1727061008
475	0.1724767888
476	0.1722976857
477	0.1719131094
478	0.1717468869
479	0.1714013114
480	0.1710505379
481	0.1707748418
482	0.1704996528
483	0.1702437549
484	0.1699715392
485	0.1695774777
486	0.1692162429
487	0.1689615557
488	0.1686878294
489	0.1683442571
490	0.1679825876
491	0.1676565717
492	0.1671912058
493	0.1669622166
494	0.1664340152
495	0.1663640722
496	0.166346128
497	0.166260139
498	0.1657628057
499	0.1656180459
500	0.1653126021
501	0.164998705
502	0.1645619376
503	0.1641919164
504	0.1637697184
505	0.1634451969
506	0.1632762109
507	0.1629857327
508	0.1627549847
509	0.162400942
510	0.1623294499
511	0.1621457197
512	0.1618367112
513	0.1615962633
514	0.1610827512
515	0.1609108066
516	0.1601476541
517	0.1599009583
518	0.1596044063
519	0.159372212
520	0.159209956
521	0.1589630452
522	0.1587404854
523	0.1585845799
524	0.1584013934
525	0.1582803072
526	0.1579000431
527	0.1576764784
528	0.1574980372
529	0.1572446938
530	0.1570095972
531	0.1566003126
532	0.1563163779
533	0.1559099263
534	0.1554652213
535	0.1552223559
536	0.1550863964
537	0.1548831591
538	0.1545354851
539	0.1542952723
540	0.1541214565
541	0.1539396214
542	0.1537285858
543	0.1535882143
544	0.1534209569
545	0.1531877839
546	0.1528299982
547	0.1523843159
548	0.1520941988
549	0.1519475057
550	0.1516685257
551	0.1515516152
552	0.1513344196
553	0.1509809401
554	0.150802956
555	0.1506216975
556	0.1504764465
557	0.1500801865
558	0.1497734668
559	0.1496449368
560	0.1493692846
561	0.1489822832
562	0.1487403096
563	0.1483249179
564	0.1481400862
565	0.1478625292
566	0.1476269354
567	0.1475129961
568	0.1470720914
569	0.1468950652
570	0.1465184911
571	0.1464234698
572	0.146016705
573	0.1457711365
574	0.1456949129
575	0.1454705436
576	0.1452821827
577	0.144780978
578	0.1446076754
579	0.1443934219
580	0.1442675484
581	0.1440338859
582	0.1438376724
583	0.1437522355
584	0.1435149594
585	0.1432187697
586	0.14287823
587	0.14280353
588	0.142447766
589	0.1423241347
590	0.1420475651
591	0.1418155654
592	0.1416962761
593	0.1416562617
594	0.1414718233
595	0.1413886535
596	0.1409108613
597	0.140631539
598	0.1403487696
599	0.1401968457
600	0.1400714682
601	0.1398342374
602	0.1395720181
603	0.1394080446
604	0.139263539
605	0.1389798522
606	0.138826726
607	0.1386829546
608	0.1385999056
609	0.1384355529
610	0.138138843
611	0.1376921333
612	0.1373847442
613	0.1371878671
614	0.1369006406
615	0.1367814791
616	0.1364664105
617	0.1360941464
618	0.1358248229
619	0.1354825297
620	0.1352277924
621	0.1350868254
622	0.1350197992
623	0.134949539
624	0.1347126227
625	0.1344922625
626	0.1342054333
627	0.1339771601
628	0.1337808924
629	0.1333903593
630	0.133146653
631	0.1329901366
632	0.1329359429
633	0.132883302
634	0.1327440257
635	0.1324809781
636	0.1323250122
637	0.1321579085
638	0.1320221458
639	0.131792773
640	0.1315481861
641	0.1312988156
642	0.1310427085
643	0.1309118859
644	0.1308036453
645	0.1307137958
646	0.1305049678
647	0.1303947405
648	0.1301474387
649	0.1299530451
650	0.1298796599
651	0.1296890574
652	0.1295883699
653	0.1294489011
654	0.129336047
655	0.12914224
656	0.1291060045
657	0.1289141485
658	0.1286971192
659	0.128595818
660	0.128502537
661	0.1282050771
662	0.1280641263
663	0.1279446698
664	0.1277995301
665	0.1276877454
666	0.1273563287
667	0.1271834038
668	0.1270118678
669	0.1268972413
670	0.1267591177
671	0.1263214135
672	0.1261102641
673	0.1259133511
674	0.125822374
675	0.1255575232
676	0.1252780173
677	0.1251227991
678	0.1248782254
679	0.1247896907
680	0.124636271
681	0.1245796577
682	0.1243945776
683	0.1242550842
684	0.1239425205
685	0.1237581444
686	0.1235902486
687	0.1234525123
688	0.1230887211
689	0.1230149354
690	0.122927087
691	0.1225994797
692	0.1223532065
693	0.1222103036
694	0.1220027607
695	0.1218284067
696	0.1217698418
697	0.1216209867
698	0.1214976816
699	0.1212869022
700	0.1210926104
701	0.120907958
702	0.1207554428
703	0.1205244856
704	0.1204709998
705	0.120101251
706	0.1199021103
707	0.119513254
708	0.1193505122
709	0.119111801
710	0.118970288
711	0.118777681
712	0.1186183104
713	0.1185742315
714	0.1183516191
715	0.1181849571
716	0.1178445364
717	0.1177795646
718	0.1176981617
719	0.1173866508
720	0.1173393798
721	0.1172619987
722	0.1171479856
723	0.1168929811
724	0.1167087306
725	0.1165648419
726	0.1164063688
727	0.1162705516
728	0.1160705769
729	0.1158084376
730	0.1157655579
731	0.1155266653
732	0.1153337893
733	0.1150409554
734	0.1148074038
735	0.1147180201
736	0.1144894792
737	0.1142568685
738	0.1140076835
739	0.1139045405
740	0.1137094168
741	0.1135999558
742	0.1135233909
743	0.1132864589
744	0.1131807537
745	0.11301622
746	0.1128402529
747	0.1127959353
748	0.1126774137
749	0.1125771765
750	0.1123911049
751	0.1122402374
752	0.1120794365
753	0.1119042114
754	0.1117945946
755	0.1117387141
756	0.1114668925
757	0.1112715729
758	0.1111097915
759	0.1109562684
760	0.1108722089
761	0.1107549132
762	0.1104549085
763	0.1103425486
764	0.1102962109
765	0.1102334882
766	0.1100376256
767	0.1098556197
768	0.109561831
769	0.1094598084
770	0.1094050936
771	0.1092415372
772	0.1091446347
773	0.1091055818
774	0.1090608508
775	0.1088783757
776	0.1087234486
777	0.1085343937
778	0.1083671025
779	0.1081694814
780	0.1079608635
781	0.1078217989
782	0.1075465494
783	0.1074219421
784	0.1072817046
785	0.1071963227
786	0.1069742065
787	0.1068240081
788	0.1067241436
789	0.1065779849
790	0.1064407631
791	0.1062584221
792	0.1060908426
793	0.1059320035
794	0.1058494768
795	0.105725937
796	0.1056126498
797	0.105561836
798	0.1054836141
799	0.1053493955
800	0.1052713853
801	0.1051399629
802	0.1050352945
803	0.104945014
804	0.1048130849
805	0.1047604481
806	0.1047122237
807	0.1045248443
808	0.1044744059
809	0.1043168602
810	0.1042257289
811	0.1040319363
812	0.1039002855
813	0.1037020222
814	0.1035476752
815	0.1033875599
816	0.1032213857
817	0.1030072192
818	0.1028359782
819	0.1026762209
820	0.1025731522
821	0.1024128661
822	0.1023366922
823	0.102283481
824	0.1022402239
825	0.1021450737
826	0.1020258199
827	0.1019493375
828	0.1018281956
829	0.1016871202
830	0.1016181549
831	0.1015050325
832	0.1013699153
833	0.1013263425
834	0.1012536593
835	0.1010856914
836	0.1009887137
837	0.1008872558
838	0.1008220257
839	0.1007128395
840	0.1006609237
841	0.1005438631
842	0.1004382414
843	0.100381104
844	0.1002725923
845	0.1001110632
846	0.1000705277
847	0.1000081278
848	0.09989767727
849	0.09965569804
850	0.09955761406
851	0.09947322416
852	0.09938821842
853	0.09933244168
854	0.09927746093
855	0.09920929866
856	0.09905889836
857	0.09894229328
858	0.09883122776
859	0.098682159
860	0.09856083628
861	0.09844837656
862	0.09835593694
863	0.09818421944
864	0.09806160071
865	0.09792577511
866	0.09781584076
867	0.09774152239
868	0.09767002895
869	0.0974688681
870	0.09735147257
871	0.09724104044
872	0.09703856055
873	0.09690943462
874	0.0967510528
875	0.09667462463
876	0.09655143406
877	0.09644001054
878	0.09633390537
879	0.09626860266
880	0.09615116477
881	0.09603969611
882	0.09583243042
883	0.09570440883
884	0.09551773127
885	0.09544851177
886	0.09527831609
887	0.09517486142
888	0.09498231157
889	0.09484168381
890	0.09478115046
891	0.09467578298
892	0.09458535773
893	0.09449909042
894	0.09441742675
895	0.09434760962
896	0.094172148
897	0.0940616669
898	0.09396773629
899	0.09373485168
900	0.09362632317
901	0.09358954738
902	0.09350335228
903	0.09335900058
904	0.09322058965
905	0.09318098552
906	0.09314395807
907	0.09290212028
908	0.09279670186
909	0.09261283622
910	0.09236405728
911	0.0922161196
912	0.09208073013
913	0.09203124737
914	0.09183119058
915	0.09175593235
916	0.09166800826
917	0.09160187493
918	0.09150025864
919	0.09145704997
920	0.09140610488
921	0.09125737188
922	0.09112293905
923	0.09100129605
924	0.09088876506
925	0.09076868961
926	0.09069933027
927	0.09065278436
928	0.09060768442
929	0.09051690797
930	0.09035901832
931	0.09024619536
932	0.0901839115
933	0.09009313744
934	0.09002688405
935	0.08995068096
936	0.08964853861
937	0.08960393501
938	0.08942792328
939	0.08933256
940	0.08924453554
941	0.08908926942
942	0.08901394242
943	0.08892729871
944	0.08886111426
945	0.08866529112
946	0.08856876189
947	0.0885073688
948	0.08839696302
949	0.08828685732
950	0.08812456654
951	0.08796458577
952	0.08785064627
953	0.08779886392
954	0.08771037218
955	0.08761720364
956	0.08756557532
957	0.08747959084
958	0.08736081735
959	0.08713921405
960	0.08696342887
961	0.08677142555
962	0.08674073625
963	0.08667272721
964	0.08662509304
965	0.08654570988
966	0.08649819043
967	0.08645887699
968	0.08640697138
969	0.08628008884
970	0.08623284082
971	0.08610758994
972	0.08605632608
973	0.08592331933
974	0.08576243241
975	0.08567869319
976	0.08562992252
977	0.08544535075
978	0.08535370283
979	0.08526309226
980	0.08512731769
981	0.08508907681
982	0.0850481503
983	0.08493183971
984	0.08484913324
985	0.0847884544
986	0.08470797864
987	0.08444451102
988	0.08441471147
989	0.08437694271
990	0.08425286185
991	0.08418855363
992	0.08412294787
993	0.08404531366
994	0.08400965195
995	0.08387908785
996	0.08377491972
997	0.08371452692
998	0.08366119638
999	0.08362323253
